"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
0.137598665342084	1	"320"	"cereal2b"	"208.08427"	"209.09207"	"226.7764217"	"L-Kynurenine"	0.137598665342084
0.137432224174482	1	"242"	"cereal2b"	"126.0424"	"127.0502"	"149.8716234"	"Thymine (5-Methyl-2,4-dihydroxypyrimidine)"	0.137432224174482
0.136710853718267	1	"2115"	"cereal1b"	"117.053303"	"118.061103"	"53.00720574"	"Guanidoacetate (2-carbamimidamidoacetic acid)"	0.136710853718267
-0.136606415759415	1	"126"	"spread2"	"150.05335"	"149.04555"	"56.89411073"	"D-(-)Arabinose"	0.136606415759415
-0.136360639100862	1	"2025"	"snack4"	"182.99954"	"181.99174"	"310.8259314"	"Saccharin"	0.136360639100862
-0.135937447344536	1	"169"	"spread2"	"89.04716"	"90.05496"	"52.63129909"	"L-Alanine"	0.135937447344536
-0.135623858691602	1	"2038"	"White_cereals_week"	"242.0908"	"241.083"	"252.6656206"	"Thymidine"	0.135623858691602
0.135504214589136	1	"171"	"cereal2b"	"131.09411"	"132.10191"	"130.1510916"	"L-Leucine"	0.135504214589136
0.135504214589136	1	"1993"	"cereal2b"	"131.09411"	"132.10191"	"138.8309129"	"Norleucine"	0.135504214589136
-0.13547636629239	1	"62"	"spread2"	"166.06352"	"165.05572"	"476.2005781"	"L-3-Phenyllactic acid"	0.13547636629239
0.135299822711473	1	"309"	"spread2"	"136.0377"	"135.0299"	"53.30398894"	"D-Erythronic acid"	0.135299822711473
0.135153607831124	1	"331"	"spread2"	"92.06598"	"93.07378"	"54"	"L-Alanine-d3"	0.135153607831124
-0.135039996192114	1	"76"	"MD_week"	"134.02204"	"133.01424"	"64.70918125"	"Malic acid"	0.135039996192114
0.134959568369732	1	"1545"	"milk2"	"136.03769"	"135.02989"	"53.30398894"	"L-threonic acid"	0.134959568369732
0.134578885981663	1	"7"	"poultry1"	"92.04682"	"93.05462"	"58.98270796"	"Glycerol "	0.134578885981663
-0.134478210810361	1	"100"	"spread2"	"140.05805"	"141.06585"	"73.49432451"	"Imidazolepropionic acid"	0.134478210810361
0.134465968721148	1	"72"	"cereal2b"	"104.04682"	"105.05462"	"126.0601368"	"3-Hydroxybutyric acid"	0.134465968721148
