CompID	Calc. MW	m/z	RT (min)	Reference Ion
1401	137.04715	138.05495	448.5796091	Anthranilic acid
1407	161.08354	162.09134	528	3-(2-Hydroxyethyl)indole (Tryptophol)
1408	145.05224	146.06004	509.5598056	Indole-3-carboxaldehyde (I3A)
1409	301.29756	302.30536	597.3600423	D-erythro-dihydrosphingosine
1410	125.09477	126.10257	45	1-methylhistamine
1414	152.06899	151.06119	53.47097996	L-(?)-Arabitol
1415	197.06828	198.07608	87	"3,4-Dihydroxyphenylalanine ( L-DOPA)"
1420	174.06353	175.07133	55.53524945	N-acetylasparagine
1421	106.02713	105.01933	56.77992612	L-Glyceric acid
1422	114.07878	115.08658	54.42614514	(S)-3?Amino?2?piperidone
1424	121.08863	122.09643	204	"2,4,6-Trimethyl-pyridine"
1425	118.06352	117.05572	302.2938153	Alpha-hydroxyisovalerate
1428	289.15201	290.15981	264	Adipoylcarnitine (C16)
1430	297.1068	298.1146	102	7-Methylguanosine
1432	145.07337	146.08117	239.2179697	Isobutyrylglycine
1443	247.10506	248.11286	65.4	Malonyl-L-carnitine
1457	453.28606	452.27826	668.6622998	1-Palmitoyl-glycero-3-phosphoethanolamine (16:0)
1460	325.29756	326.30536	768	Anandamide C18:1
1466	261.12071	262.12851	106.8	O-succinyl- L-carnitine 
1467	188.11557	189.12337	86.08447513	N6-acetyl-L-lysine
1469	279.25569	280.26349	757.2852987	Linoleamide
1474	368.1664	367.1586	588	Dehydroisoandrosterone sulfate (DHEA-S)
1477	246.0999	247.1077	506.7892784	N-acetyl-DL-tryptophan
1479	174.1363	175.1441	50.35325612	"N6,N6-dimethyllysine"
1481	287.20913	288.21693	531	Octanoyl-L-carnitine C8:0
1482	165.04544	166.05324	53.48839266	DL-Methionine sulfoxide
1485	207.09007	206.08227	484.9576906	N-acetyl-L-phenylalanine
1487	157.07337	158.08117	276.1293491	N-acetyl-L-proline
1492	156.01763	155.00983	65.88577484	Orotic acid
1496	245.16218	246.16998	370.8875928	2-Methylbutyryl-L-carnitine
1501	116.04786	115.04006	213.8437917	3-Methyl-2-oxobutyric acid
1505	122.0373	121.0295	418.6969142	4-Hydroxybenzaldehyde
1507	72.02165	71.01385	64.16907484	Methylglyoxal***
1509	150.0686	149.0608	551.5950191	3-Phenylpropionate (Hydrocinnamic acid)
1516	179.05876	178.05096	389.1195175	Hippuric acid
1517	180.04278	179.03498	268.7896257	4-Hydroxyphenylpyruvic acid
1519	228.07514	227.06734	146.5454688	2-Deoxyuridine
1522	162.05334	161.04554	140.1505232	3-Hydroxy-3-methylglutarate
1524	188.11557	189.12337	199.9391229	Leucylglycine
1525	176.09444	177.10224	108	(?)-Cotinine
1528	154.02713	153.01933	419.7274039	"2,6-Dihydroxybenzoic acid"
1529	137.04716	138.05496	347.3542163	Methyl nicotinate
1533	216.12172	217.12952	80.23371044	N-acetyl-arginine
1535	175.09517	176.10297	53.45834448	L-Citrulline
1536	202.14245	203.15025	57.5586678	"N,N,dimethylarginine"
1539	342.11673	341.10893	59.11634791	Trehalose
1542	159.09006	158.08226	336.4016279	N-acetylvaline
1543	123.0315	124.0393	83.33524872	2-picolinic acid
1545	136.03769	135.02989	53.30398894	L-threonic acid
1548	278.16251	279.17031	446.1943667	DL-leucyl-dl-phenylalanine
1550	130.06351	129.05571	358.0001277	3-Methyl-2-oxopentanoic acid (=ketoisoleucine)
1551	168.02886	167.02106	83.81854407	Uric acid
1560	284.07516	285.08296	226.8627015	Xanthosine
1561	264.11048	265.11828	392.9336914	PhenylAc-Gln-OH
1562	131.05772	132.06552	96.32817645	N-acetyl-beta-alanine
1563	406.2724	405.2646	564	7-Ketodeoxycholate
1564	223.08393	224.09173	336.2646627	N-acetyl- L-tyrosine
1565	244.07006	243.06226	84.00585945	Pseudouridine
1567	301.05679	300.04899	57.88989278	N-acetylglucosamine 1-phosphate 
1569	294.12104	295.12884	356.0709873	Gamma-glutamylphenylalanine
1571	281.11188	282.11968	252	N6-methyladenosine
1573	132.0773	131.0695	426	2-Hydroxy-3-methylvalerate 
1576	183.08697	182.07917	108.2922877	L-Tyrosine-d2
1577	180.095235	179.087435	528.833169	Indole-3-acetic acid-d5
1578	157.10333	158.11113	87.86549617	Dopamine-d4
1579	396.31829	395.31049	653.1714408	Deoxycholic acid-d4
1582	172.13171	173.13951	92.76629878	N-Acetylagmatine
1583	167.091	168.0988	236.9569977	L-Phenylalanine-d2
1585	205.03698	206.04478	318	Xanthurenic acid
1603	179.07884	180.08664	54.15895794	Glucosamine
1703	264.10395	265.11175	51	Thiamine
1704	169.07336	170.08116	87.26370029	Pyridoxine
1707	244.08763	245.09543	414	D-biotin
1758	74.08387	75.09167	43.01099843	"1,3-Diaminopropane"
1760	184.034244	185.042044	72	"1,6-Anhydro-b-glucose"
1764	101.04716	102.05496	53.6481527	1-Aminocyclopropane-1-carboxylic acid
1766	179.0941	180.1019	108	"1-Methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline"
1767	114.0424	115.0502	107.4400731	1-Methyl-hydantoin
1769	104.05805	105.06585	54	"2,3-Diaminopropionic acid"
1775	109.05224	110.06004	85.26208624	2-Aminophenol
1780	132.07917	131.07137	382.0619586	2-Ethyl-2-hydroxybutyric acid
1785	162.05335	161.04555	141.045417	2-Hydroxyhexanedioic acid
1789	193.07441	192.06661	431.4222755	2-Methylhippuric acid
1791	133.05224	134.06004	468	2-Oxindole
1794	164.08425	163.07645	582	2-Phenylbutyric acid
1795	173.04715	174.05495	360	2-Quinolinecarboxylic acid
1801	196.07408	195.06628	516.9849288	"3,4-Dimethoxyphenylacetic acid"
1805	153.04207	154.04987	104.6605369	3-Aminosalicylic acid
1814	90.03117	91.03897	250.8	"3-Hydroxypropionic acid, 30% solution in water"
1816	198.05335	197.04555	213.1717231	3-Methoxy-4-hydroxymandelic acid
1817	147.06789	148.07569	522	3-Methyl-2-oxindole
1820	132.05297	133.06077	81.24760862	3-Ureidopropionate
1821	151.0628	152.0706	291.4486923	4-Acetamidophenol
1822	137.04715	138.05495	278.4159902	4-Aminobenzoic acid
1824	153.04207	154.04987	328.7923972	4-Aminosalicylic acid
1826	167.05772	168.06552	58.1669565	4-Hydroxy-phenylglycine
1827	126.0424	127.0502	54	4-Imidazoleacetic acid
1831	173.04715	174.05495	150	4-Quinolinecarboxylic acid
1836	186.04989	187.05769	64.7389772	6-Deoxy-galactose
1837	159.1254	160.1332	282	8-Aminooctanoic acid
1838	145.05224	146.06004	288	8-Hydroxyquinoline
1840	162.99445	161.98665	201.7785663	Acesulfame K
1846	188.01485	187.00705	465.4503632	p-Cresol sulfate
1848	188.15196	189.15976	49.59121766	"N6,N6,N6-trimethyllysine"
1849	161.06829	162.07609	56.71422762	N-Methyl-glutamate
1851	145.0846	146.0924	78.74230793	4-Guanidinobutanoic acid
1864	148.0377	147.0299	117.5007143	Citramalic acid
1865	654.26844	655.27624	565.2	Coproporphyrin III
1868	203.09411	204.10191	588	Ethyl 3-indoleacetic acid
1875	169.03803	168.03023	269.0287645	N-(2-Furoyl)glycine
1876	203.11657	204.12437	360	N6-(Delta2-isopentenyl)-adenine
1878	151.09919	152.10699	155.6754199	N-Methyltyramine
1879	192.07812	193.08592	576	Piperonyl acetone
