"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
-0.152	0.22	"416"	"Pot_week"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.152
-0.152	0.22	"191"	"spread2"	"190.09483"	"191.10263"	"57.57533581"	"2,6-Diaminopimelic acid"	0.152
0.152	0.214	"227"	"cereal2b"	"111.04274"	"112.05054"	"54.91419442"	"Cytosine"	0.152
0.151	0.226	"1425"	"cereal2b"	"118.06352"	"117.05572"	"302.2938153"	"Alpha-hydroxyisovalerate"	0.151
0.151	0.226	"310"	"cereal2b"	"132.07916"	"131.07136"	"429.7055788"	"(+/-)-2-Hydroxyisocaproic acid"	0.151
0.151	0.226	"74"	"cereal2b"	"132.07916"	"131.07136"	"429.7055788"	"2-Hydroxyhexanoic acid"	0.151
-0.151	0.226	"1467"	"spread2"	"188.11557"	"189.12337"	"86.08447513"	"N6-acetyl-L-lysine"	0.151
0.15	0.233	"2068"	"snack8"	"226.09483"	"227.10263"	"271.3156643"	"5-Oxo-L-prolyl-L-proline"	0.15
-0.15	0.226	"504"	"spread2"	"152.0329"	"153.0407"	"97.41585781"	"Xanthine"	0.15
-0.149	0.244	"1577"	"potato2"	"180.095235"	"179.087435"	"528.833169"	"Indole-3-acetic acid-d5"	0.149
-0.148	0.257	"22"	"spread2"	"174.08973"	"173.08193"	"437.6886908"	"Suberic acid "	0.148
0.148	0.261	"1466"	"cereal1a"	"261.12071"	"262.12851"	"106.8"	"O-succinyl- L-carnitine "	0.148
0.148	0.261	"206"	"drink3b"	"191.06109"	"192.06889"	"338.6372259"	"N-Acetyl-L-methionine"	0.148
0.148	0.261	"236"	"cereal2b"	"136.03799"	"137.04579"	"88.285322"	"Hypoxanthine"	0.148
0.147	0.264	"1421"	"cereal2b"	"106.02713"	"105.01933"	"56.77992612"	"L-Glyceric acid"	0.147
0.147	0.264	"131"	"snack2"	"202.04481"	"203.05261"	"53.2955761"	"D-(+)-Glucose"	0.147
0.147	0.264	"1891"	"snack7"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.147
-0.147	0.264	"1981"	"spread2"	"173.10467"	"174.11247"	"449.0496459"	"N-Acetyl-leucine"	0.147
0.147	0.264	"2115"	"cereal1b"	"117.053303"	"118.061103"	"53.00720574"	"Guanidoacetate (2-carbamimidamidoacetic acid)"	0.147
0.147	0.264	"475"	"drink3b"	"194.07985"	"195.08765"	"379.1290605"	"Caffëine"	0.147
0.146	0.268	"1542"	"cereal2b"	"159.09006"	"158.08226"	"336.4016279"	"N-acetylvaline"	0.146
-0.146	0.277	"1780"	"drink1"	"132.07917"	"131.07137"	"382.0619586"	"2-Ethyl-2-hydroxybutyric acid"	0.146
0.146	0.268	"1533"	"snack8"	"216.12172"	"217.12952"	"80.23371044"	"N-acetyl-arginine"	0.146
0.146	0.27	"172"	"cereal2b"	"131.09411"	"132.10191"	"118.0668404"	"L-Isoleucine"	0.146
0.145	0.285	"171"	"drink6"	"131.09411"	"132.10191"	"130.1510916"	"L-Leucine"	0.145
0.145	0.285	"1993"	"drink6"	"131.09411"	"132.10191"	"138.8309129"	"Norleucine"	0.145
0.145	0.285	"72"	"cereal2b"	"104.04682"	"105.05462"	"126.0601368"	"3-Hydroxybutyric acid"	0.145
-0.144	0.294	"1764"	"spread2"	"101.04716"	"102.05496"	"53.6481527"	"1-Aminocyclopropane-1-carboxylic acid"	0.144
0.144	0.29	"1767"	"snack1"	"114.0424"	"115.0502"	"107.4400731"	"1-Methyl-hydantoin"	0.144
0.144	0.292	"1984"	"cereal2b"	"130.11009"	"131.11789"	"63.18295768"	"N-Acetylputrescine"	0.144
